10.0845 0.00898417 -0.0878664  3.61905 -1.14519  -0.0085306 -0.0872686  3.33897 -1.23252  
10.1473 0.00891882 -0.0874388  3.61618 -1.13816  -0.0084541 -0.0868552  3.33958 -1.22478  
10.2102 0.00885384 -0.0870146  3.61334 -1.13125  -0.0083785 -0.0864456  3.34018 -1.21707  
10.273 0.00878923 -0.0865938  3.61055 -1.12444  -0.00830381 -0.0860396  3.34076 -1.20938  
10.3358 0.008725 -0.0861762  3.6078 -1.11773  -0.00823002 -0.0856372  3.34133 -1.20172  
10.3987 0.00866115 -0.085762  3.60509 -1.11112  -0.00815713 -0.0852383  3.34189 -1.19408  
10.4615 0.00859768 -0.0853511  3.60242 -1.10461  -0.00808513 -0.084843  3.34244 -1.18648  
10.5243 0.00853458 -0.0849434  3.59979 -1.0982  -0.00801401 -0.084451  3.34298 -1.17889  
10.5872 0.00847188 -0.084539  3.5972 -1.09189  -0.00794377 -0.0840625  3.34352 -1.17133  
10.65 0.00840956 -0.0841377  3.59464 -1.08568  -0.0078744 -0.0836773  3.34404 -1.1638  
10.7128 0.00834762 -0.0837396  3.59213 -1.07955  -0.00780589 -0.0832954  3.34457 -1.1563  
10.7757 0.00828608 -0.0833447  3.58966 -1.07352  -0.00773825 -0.0829168  3.34508 -1.14882  
10.8385 0.00822492 -0.0829529  3.58723 -1.06759  -0.00767145 -0.0825414  3.3456 -1.14137  
10.9013 0.00816416 -0.0825642  3.58484 -1.06174  -0.00760549 -0.0821692  3.34611 -1.13394  
10.9642 0.00810379 -0.0821785  3.58249 -1.05598  -0.00754036 -0.0818001  3.34663 -1.12654  
11.027 0.00804381 -0.0817959  3.58017 -1.0503  -0.00747605 -0.0814341  3.34714 -1.11917  
11.0898 0.00798423 -0.0814164  3.5779 -1.04471  -0.00741256 -0.0810712  3.34765 -1.11182  
11.1527 0.00792504 -0.0810398  3.57566 -1.03921  -0.00734988 -0.0807113  3.34816 -1.1045  
11.2155 0.00786625 -0.0806662  3.57346 -1.03378  -0.00728799 -0.0803543  3.34868 -1.09721  
11.2783 0.00780786 -0.0802955  3.5713 -1.02844  -0.00722689 -0.0800003  3.3492 -1.08995  
11.3411 0.00774986 -0.0799277  3.56918 -1.02318  -0.00716657 -0.0796492  3.34972 -1.08272  
