7.88539756051 0.01146157313647 -0.1051808105969   -0.01172467069082 -0.1044759924325   
7.948229413582 0.01138771982903 -0.1046172525967   -0.01162422136734 -0.1038995558396   
8.011061266654 0.01131384951192 -0.104058051863   -0.01152379669926 -0.1033286556073   
8.073893119726 0.01123999157036 -0.1035031806746   -0.01142347320205 -0.102763253108   
8.136724972798 0.0111661732161 -0.10295261122   -0.01132332256422 -0.1022033072197   
8.199556825869 0.01109241965772 -0.1024063156196   -0.01122341185906 -0.1016487745548   
8.262388678941 0.01101875425691 -0.1018642659445   -0.01112380374993 -0.1010996096765   
8.325220532013 0.01094519867439 -0.1013264342325   -0.01102455668957 -0.1005557653032   
8.388052385085 0.01087177300358 -0.1007927925008   -0.01092572511227 -0.1000171925023   
8.450884238157 0.01079849589429 -0.1002633127568   -0.01082735962173 -0.09948384087224   
8.513716091228 0.01072538466556 -0.09973796700763   -0.01072950717194 -0.09895565871503   
8.5765479443 0.01065245541087 -0.09921672726657   -0.01063221124201 -0.0984325931975   
8.639379797372 0.01057972309356 -0.0986995655595   -0.01053551200482 -0.0979145905035   
8.702211650444 0.01050720163634 -0.09818645392938   -0.01043944649037 -0.09740159597634   
8.765043503516 0.01043490400139 -0.09767736443998   -0.0103440487426 -0.09689355425238   
8.827875356587 0.01036284226525 -0.09717226917885   -0.01024934997132 -0.09639040938587   
8.890707209659 0.01029102768745 -0.09667114025962   -0.01015537869677 -0.09589210496557   
8.953539062731 0.01021947077251 -0.09617394982377   -0.01006216089102 -0.09539858422346   
9.016370915803 0.01014818132825 -0.09568067004209   -0.009969720111225 -0.09490979013594   
9.079202768875 0.01007716851772 -0.09519127311573   -0.009878077629575 -0.09442566551784   
9.142034621946 0.01000644090737 -0.09470573127721   -0.00978725255747 -0.09394615310961   
9.204866475018 0.00993600651155 -0.09422401679118   -0.009697261963405 -0.09347119565803   
9.26769832809 0.009865872832318 -0.09374610195517   -0.009608120987776 -0.0930007359908   
9.330530181162 0.00979604689652 -0.09327195910033   -0.009519842951514 -0.09253471708526   
9.393362034233 0.009726535289376 -0.0928015605922   -0.009432439460302 -0.09207308213161   
9.456193887305 0.009657344185363 -0.09233487883153   -0.009345920504111 -0.0916157745909   
9.519025740377 0.009588479375705 -0.09187188625524   -0.009260294553444 -0.09116273824813   
9.581857593449 0.009519946294813 -0.09141255533745   -0.009175568649069 -0.09071391726064   
9.644689446521 0.009451750043051 -0.09095685859069   -0.009091748489532 -0.09026925620219   
9.707521299592 0.009383895408513 -0.09050476856721   -0.009008838514041 -0.08982870010286   
9.770353152664 0.00931638688585 -0.09005625786051   -0.00892684198131 -0.08939219448507   
9.833185005736 0.009249228694934 -0.08961129910693   -0.008845761044313 -0.08895968539602   
9.896016858808 0.009182424796402 -0.08916986498755   -0.008765596822681 -0.08853111943664   
9.95884871188 0.009115978906519 -0.08873192823006   -0.008686349470288 -0.0881064437874   
10.02168056495 0.009049894510982 -0.08829746161097   -0.008608018240277 -0.08768560623106   
10.08451241802 0.008984174877377 -0.08786643795781   -0.008530601546121 -0.08726855517272   
10.1473442711 0.0089188230658 -0.08743883015161   -0.008454097021067 -0.08685523965711   
10.21017612417 0.008853841939718 -0.08701461112938   -0.008378501572763 -0.08644560938362   
10.27300797724 0.008789234175777 -0.08659375388685   -0.008303811435855 -0.08603961471891   
10.33583983031 0.008725002271224 -0.08617623148121   -0.008230022223283 -0.0856372067075   
10.39867168338 0.008661148553479 -0.08576201703404   -0.008157128971576 -0.08523833708035   
10.46150353645 0.008597675186159 -0.08535108373424   -0.008085126187168 -0.08484295826167   
10.52433538953 0.008534584176278 -0.08494340484113   -0.008014007888366 -0.08445102337405   
10.5871672426 0.008471877380738 -0.08453895368764   -0.007943767645247 -0.08406248624196   
10.64999909567 0.008409556511542 -0.08413770368331   -0.007874398617598 -0.08367730139391   
10.71283094874 0.008347623141909 -0.08373962831796   -0.007805893591084 -0.08329542406333   
10.77566280181 0.00828607870877 -0.08334470116406   -0.007738245011159 -0.08291681018787   
10.83849465488 0.008224924523841 -0.08295289588206   -0.00767144501342 -0.08254141640861   
10.90132650796 0.008164161763606 -0.08256418621933   -0.007605485457722 -0.08216920006604   
10.96415836103 0.008103791502319 -0.08217854602264   -0.007540357948089 -0.08180011919953   
11.0269902141 0.008043814659835 -0.08179594922331   -0.00747605387572 -0.08143413253743   
11.08982206717 0.007984232107438 -0.08141636987481   -0.007412564414292 -0.08107119950225   
11.15265392024 0.007925044495515 -0.08103978209497   -0.007349880594479 -0.08071128018726   
11.21548577332 0.007866252538033 -0.08066616017175   -0.007287993245571 -0.08035433537865   
11.27831762639 0.007807856598126 -0.08029547840543   -0.007226893133718 -0.08000032650546   
11.34114947946 0.007749857259604 -0.07992771134737   -0.007166570824729 -0.07964921569266   
11.40398133253 0.007692254630929 -0.07956283348476   -0.007107016890181 -0.0793009656751   
11.4668131856 0.00763504909855 -0.07920081963742   -0.007048221729596 -0.07895553988115   
11.52964503867 0.007578240670654 -0.07884164452166   -0.006990175748442 -0.0786129023274   
11.59247689175 0.007521829355861 -0.07848528318629   -0.00693286929289 -0.07827301769853   
