5.49779 0.0422597 -0.133535  2.69308 -1.07016  -0.00142712 -0.146368  2.94368 -1.06092  -0.0435692 -0.131454  3.17813 -1.0503  
5.56062 0.0415951 -0.13261  2.69596 -1.06695  -0.00138038 -0.145176  2.9444 -1.0561  -0.0428796 -0.130658  3.17547 -1.04521  
5.62345 0.0409465 -0.131697  2.69875 -1.0637  -0.00133453 -0.144001  2.94507 -1.05131  -0.0422046 -0.129867  3.17285 -1.04013  
5.68628 0.0403134 -0.130794  2.70146 -1.06041  -0.00128958 -0.142845  2.94569 -1.04655  -0.041544 -0.129082  3.17026 -1.03508  
5.74911 0.0396952 -0.129902  2.7041 -1.05708  -0.00124551 -0.141706  2.94625 -1.04183  -0.0408972 -0.128302  3.16771 -1.03006  
5.81195 0.0390914 -0.129021  2.70665 -1.05371  -0.00120232 -0.140584  2.94676 -1.03714  -0.0402641 -0.127528  3.16519 -1.02505  
5.87478 0.0385015 -0.12815  2.70914 -1.05031  -0.00116001 -0.139478  2.94722 -1.03248  -0.0396442 -0.12676  3.16271 -1.02007  
5.93761 0.0379252 -0.127289  2.71156 -1.04686  -0.00111858 -0.138389  2.94763 -1.02786  -0.0390373 -0.125997  3.16028 -1.01512  
6.00044 0.0373619 -0.126439  2.71392 -1.04339  -0.00107803 -0.137316  2.948 -1.02327  -0.0384431 -0.12524  3.15788 -1.0102  
6.06327 0.0368113 -0.125599  2.71622 -1.03988  -0.00103835 -0.136258  2.94832 -1.01872  -0.0378612 -0.124488  3.15552 -1.0053  
6.12611 0.0362729 -0.124769  2.71845 -1.03633  -0.000999531 -0.135215  2.9486 -1.01421  -0.0372913 -0.123742  3.1532 -1.00043  
6.18894 0.0357463 -0.123949  2.72064 -1.03276  -0.000961581 -0.134187  2.94884 -1.00973  -0.0367333 -0.123002  3.15093 -0.99559  
6.25177 0.0352312 -0.123138  2.72278 -1.02916  -0.000924492 -0.133173  2.94904 -1.00528  -0.0361867 -0.122268  3.14869 -0.990782  
6.3146 0.0347272 -0.122337  2.72486 -1.02552  -0.00088826 -0.132174  2.94921 -1.00087  -0.0356513 -0.121539  3.1465 -0.986004  
6.37743 0.0342339 -0.121546  2.72691 -1.02186  -0.00085288 -0.131189  2.94934 -0.9965  -0.0351269 -0.120816  3.14436 -0.981259  
6.44026 0.0337511 -0.120764  2.72891 -1.01817  -0.000818347 -0.130217  2.94944 -0.992161  -0.0346132 -0.120099  3.14225 -0.976546  
6.5031 0.0332784 -0.119991  2.73087 -1.01446  -0.000784655 -0.129259  2.94951 -0.987857  -0.0341099 -0.119387  3.14019 -0.971865  
6.56593 0.0328155 -0.119227  2.73279 -1.01072  -0.0007518 -0.128314  2.94955 -0.983587  -0.0336168 -0.118681  3.13817 -0.967218  
6.62876 0.0323622 -0.118472  2.73469 -1.00695  -0.000719773 -0.127382  2.94957 -0.979352  -0.0331337 -0.117981  3.1362 -0.962605  
6.69159 0.031918 -0.117726  2.73655 -1.00316  -0.000688569 -0.126463  2.94955 -0.97515  -0.0326602 -0.117286  3.13427 -0.958026  
6.75442 0.0314828 -0.116988  2.73838 -0.999345  -0.000658179 -0.125556  2.94952 -0.970983  -0.0321963 -0.116597  3.13238 -0.953481  
6.81726 0.0310563 -0.116259  2.74018 -0.99551  -0.000628597 -0.124661  2.94946 -0.966848  -0.0317416 -0.115914  3.13054 -0.948971  
6.88009 0.0306383 -0.115539  2.74196 -0.991653  -0.000599814 -0.123778  2.94938 -0.962746  -0.0312959 -0.115236  3.12874 -0.944496  
6.94292 0.0302285 -0.114826  2.74372 -0.987776  -0.000571822 -0.122906  2.94928 -0.958677  -0.0308591 -0.114564  3.12698 -0.940056  
7.00575 0.0298266 -0.114122  2.74545 -0.983879  -0.00054461 -0.122046  2.94916 -0.95464  -0.0304308 -0.113898  3.12527 -0.935651  
7.06858 0.0294325 -0.113426  2.74717 -0.979963  -0.000518171 -0.121198  2.94903 -0.950635  -0.030011 -0.113237  3.1236 -0.931281  
7.13142 0.0290459 -0.112738  2.74887 -0.97603  -0.000492494 -0.12036  2.94888 -0.946662  -0.0295994 -0.112582  3.12197 -0.926947  
7.19425 0.0286666 -0.112058  2.75055 -0.97208  -0.000467569 -0.119533  2.94872 -0.942719  -0.0291958 -0.111932  3.12038 -0.922648  
7.25708 0.0282945 -0.111385  2.75222 -0.968113  -0.000443385 -0.118717  2.94855 -0.938807  -0.0288 -0.111288  3.11883 -0.918385  
7.31991 0.0279293 -0.11072  2.75388 -0.964132  -0.000419933 -0.117911  2.94836 -0.934924  -0.0284119 -0.110649  3.11733 -0.914156  
7.38274 0.0275709 -0.110062  2.75553 -0.960136  -0.0003972 -0.117116  2.94817 -0.931072  -0.0280313 -0.110016  3.11586 -0.909963  
7.44557 0.027219 -0.109411  2.75716 -0.956127  -0.000375176 -0.116331  2.94797 -0.927249  -0.0276579 -0.109388  3.11444 -0.905805  
7.50841 0.0268735 -0.108768  2.75879 -0.952106  -0.00035385 -0.115555  2.94776 -0.923455  -0.0272917 -0.108765  3.11305 -0.901682  
7.57124 0.0265234 -0.10816  2.76225 -0.94644  -0.000340831 -0.114811  2.94812 -0.918042  -0.0269274 -0.108166  3.11069 -0.896547  
7.63407 0.0261798 -0.107557  2.76563 -0.940837  -0.000328254 -0.114075  2.94846 -0.91269  -0.0265699 -0.10757  3.10839 -0.891465  
7.6969 0.0258427 -0.10696  2.76892 -0.935294  -0.000316066 -0.113348  2.9488 -0.907396  -0.0262192 -0.10698  3.10614 -0.886437  
7.75973 0.0255118 -0.106367  2.77214 -0.929811  -0.000304258 -0.112629  2.94913 -0.902161  -0.0258751 -0.106394  3.10394 -0.881462  
7.82257 0.0251871 -0.105779  2.77528 -0.924386  -0.000292818 -0.111919  2.94945 -0.896983  -0.0255374 -0.105812  3.1018 -0.876539  
7.8854 0.0248684 -0.105196  2.77834 -0.91902  -0.000281735 -0.111216  2.94976 -0.891861  -0.0252059 -0.105236  3.09971 -0.871666  
7.94823 0.0245555 -0.104618  2.78133 -0.91371  -0.000271 -0.110521  2.95007 -0.886795  -0.0248806 -0.104663  3.09767 -0.866844  
8.01106 0.0242483 -0.104044  2.78425 -0.908457  -0.000260601 -0.109834  2.95037 -0.881782  -0.0245612 -0.104096  3.09568 -0.862071  
8.07389 0.0239466 -0.103476  2.7871 -0.903259  -0.000250529 -0.109155  2.95066 -0.876823  -0.0242476 -0.103532  3.09373 -0.857347  
8.13672 0.0236504 -0.102912  2.78989 -0.898116  -0.000240775 -0.108484  2.95095 -0.871917  -0.0239398 -0.102974  3.09183 -0.852671  
8.19956 0.0233594 -0.102354  2.79261 -0.893026  -0.000231328 -0.10782  2.95122 -0.867063  -0.0236375 -0.10242  3.08997 -0.848043  
8.26239 0.0230737 -0.1018  2.79528 -0.887989  -0.000222179 -0.107163  2.9515 -0.862259  -0.0233406 -0.10187  3.08816 -0.843461  
8.32522 0.0227929 -0.10125  2.79788 -0.883005  -0.000213319 -0.106513  2.95176 -0.857506  -0.0230491 -0.101325  3.08638 -0.838925  
8.38805 0.0225171 -0.100706  2.80042 -0.878072  -0.000204739 -0.105871  2.95202 -0.852802  -0.0227627 -0.100784  3.08465 -0.834435  
8.45088 0.0222462 -0.100166  2.80291 -0.873189  -0.000196431 -0.105236  2.95228 -0.848146  -0.0224814 -0.100248  3.08295 -0.829989  
8.51372 0.0219799 -0.0996304  2.80534 -0.868356  -0.000188386 -0.104607  2.95253 -0.843539  -0.0222051 -0.099716  3.08129 -0.825587  
8.57655 0.0217182 -0.0990997  2.80772 -0.863573  -0.000180595 -0.103986  2.95277 -0.838978  -0.0219337 -0.0991885  3.07967 -0.821229  
8.63938 0.021461 -0.0985736  2.81004 -0.858838  -0.00017305 -0.103371  2.95301 -0.834464  -0.021667 -0.0986654  3.07808 -0.816913  
8.70221 0.0212082 -0.098052  2.81232 -0.854151  -0.000165745 -0.102763  2.95324 -0.829996  -0.0214049 -0.0981466  3.07653 -0.81264  
8.76504 0.0209598 -0.0975349  2.81455 -0.849511  -0.000158669 -0.102161  2.95347 -0.825572  -0.0211473 -0.0976322  3.07501 -0.808408  
8.82788 0.0207155 -0.0970222  2.81673 -0.844918  -0.000151818 -0.101566  2.95369 -0.821193  -0.0208942 -0.097122  3.07352 -0.804217  
8.89071 0.0204753 -0.096514  2.81886 -0.84037  -0.000145182 -0.100977  2.95391 -0.816858  -0.0206454 -0.0966161  3.07207 -0.800067  
8.95354 0.0202391 -0.0960102  2.82095 -0.835868  -0.000138755 -0.100394  2.95412 -0.812566  -0.0204009 -0.0961144  3.07064 -0.795957  
9.01637 0.0200069 -0.0955107  2.823 -0.83141  -0.000132529 -0.0998176  2.95433 -0.808316  -0.0201605 -0.0956169  3.06925 -0.791886  
9.0792 0.0197785 -0.0950155  2.825 -0.826996  -0.000126499 -0.0992472  2.95454 -0.804108  -0.0199242 -0.0951235  3.06788 -0.787853  
9.14203 0.0195539 -0.0945247  2.82696 -0.822625  -0.000120657 -0.0986828  2.95474 -0.799941  -0.0196918 -0.0946343  3.06654 -0.783859  
9.20487 0.019333 -0.094038  2.82889 -0.818297  -0.000114997 -0.0981242  2.95494 -0.795814  -0.0194634 -0.0941493  3.06523 -0.779903  
9.2677 0.0191156 -0.0935555  2.83077 -0.814011  -0.000109513 -0.0975715  2.95513 -0.791728  -0.0192387 -0.0936682  3.06394 -0.775984  
9.33053 0.0189018 -0.0930772  2.83261 -0.809767  -0.000104199 -0.0970245  2.95532 -0.787681  -0.0190177 -0.0931913  3.06269 -0.772102  
9.39336 0.0186915 -0.0926031  2.83442 -0.805564  -9.90513e-05 -0.0964831  2.9555 -0.783673  -0.0188004 -0.0927183  3.06145 -0.768256  
9.45619 0.0184845 -0.092133  2.8362 -0.801401  -9.40635e-05 -0.0959474  2.95568 -0.779704  -0.0185867 -0.0922493  3.06024 -0.764446  
9.51903 0.0182808 -0.0916669  2.83793 -0.797278  -8.92312e-05 -0.0954171  2.95586 -0.775772  -0.0183764 -0.0917842  3.05906 -0.760671  
9.58186 0.0180804 -0.0912048  2.83964 -0.793194  -8.45497e-05 -0.0948922  2.95604 -0.771878  -0.0181696 -0.0913231  3.05789 -0.756931  
9.64469 0.0178832 -0.0907468  2.84131 -0.78915  -8.00144e-05 -0.0943726  2.95621 -0.76802  -0.0179661 -0.0908658  3.05675 -0.753226  
9.70752 0.017689 -0.0902926  2.84295 -0.785143  -7.56207e-05 -0.0938583  2.95637 -0.764199  -0.0177659 -0.0904124  3.05564 -0.749554  
9.77035 0.0174979 -0.0898423  2.84455 -0.781174  -7.13643e-05 -0.0933492  2.95654 -0.760414  -0.0175689 -0.0899627  3.05454 -0.745916  
9.83319 0.0173098 -0.0893959  2.84613 -0.777243  -6.72408e-05 -0.0928453  2.9567 -0.756663  -0.0173751 -0.0895169  3.05347 -0.742311  
9.89602 0.0171246 -0.0889533  2.84767 -0.773349  -6.32462e-05 -0.0923463  2.95686 -0.752948  -0.0171843 -0.0890747  3.05241 -0.738739  
9.95885 0.0169422 -0.0885145  2.84919 -0.76949  -5.93762e-05 -0.0918523  2.95701 -0.749267  -0.0169965 -0.0886363  3.05138 -0.735198  
10.0217 0.0167627 -0.0880794  2.85068 -0.765668  -5.56271e-05 -0.0913633  2.95717 -0.74562  -0.0168117 -0.0882015  3.05036 -0.73169  
10.0845 0.0165859 -0.0876481  2.85214 -0.761881  -5.19947e-05 -0.090879  2.95732 -0.742006  -0.0166298 -0.0877704  3.04936 -0.728213  
10.1473 0.0164118 -0.0872203  2.85357 -0.758129  -4.84755e-05 -0.0903996  2.95746 -0.738425  -0.0164507 -0.0873429  3.04839 -0.724767  
10.2102 0.0162404 -0.0867963  2.85498 -0.754411  -4.50658e-05 -0.0899248  2.95761 -0.734877  -0.0162744 -0.0869189  3.04743 -0.721351  
10.273 0.0160715 -0.0863758  2.85636 -0.750728  -4.17623e-05 -0.0894547  2.95775 -0.731361  -0.0161009 -0.0864985  3.04648 -0.717966  
10.3358 0.0159052 -0.0859588  2.85772 -0.747077  -3.85619e-05 -0.0889891  2.95789 -0.727877  -0.01593 -0.0860816  3.04556 -0.71461  
10.3987 0.0157413 -0.0855454  2.85905 -0.743461  -3.54615e-05 -0.0885281  2.95802 -0.724424  -0.0157617 -0.0856682  3.04465 -0.711284  
10.4615 0.0155799 -0.0851354  2.86036 -0.739876  -3.24582e-05 -0.0880715  2.95816 -0.721002  -0.015596 -0.0852581  3.04376 -0.707987  
10.5243 0.0154209 -0.0847289  2.86164 -0.736325  -2.9549e-05 -0.0876193  2.95829 -0.71761  -0.0154328 -0.0848515  3.04288 -0.704719  
10.5872 0.0152642 -0.0843259  2.8629 -0.732805  -2.6731e-05 -0.0871715  2.95842 -0.714249  -0.015272 -0.0844483  3.04202 -0.701479  
10.65 0.0151099 -0.0839261  2.86414 -0.729316  -2.40016e-05 -0.0867279  2.95854 -0.710917  -0.0151137 -0.0840483  3.04117 -0.698268  
10.7128 0.0149577 -0.0835298  2.86536 -0.725859  -2.13579e-05 -0.0862886  2.95867 -0.707615  -0.0149578 -0.0836517  3.04034 -0.695084  
10.7757 0.0148078 -0.0831367  2.86656 -0.722432  -1.87974e-05 -0.0858534  2.95879 -0.704341  -0.0148042 -0.0832584  3.03953 -0.691927  
10.8385 0.0146601 -0.0827469  2.86773 -0.719035  -1.63176e-05 -0.0854223  2.95891 -0.701096  -0.0146528 -0.0828683  3.03873 -0.688797  
10.9013 0.0145145 -0.0823603  2.86889 -0.715669  -1.39158e-05 -0.0849952  2.95903 -0.69788  -0.0145037 -0.0824813  3.03794 -0.685694  
10.9642 0.014371 -0.081977  2.87002 -0.712332  -1.15897e-05 -0.0845722  2.95915 -0.694691  -0.0143568 -0.0820976  3.03716 -0.682617  
11.027 0.0142296 -0.0815968  2.87114 -0.709024  -9.33681e-06 -0.0841531  2.95926 -0.69153  -0.0142121 -0.081717  3.0364 -0.679566  
11.0898 0.0140901 -0.0812198  2.87224 -0.705745  -7.15492e-06 -0.0837379  2.95937 -0.688396  -0.0140695 -0.0813395  3.03565 -0.676541  
11.1527 0.0139527 -0.0808458  2.87332 -0.702495  -5.04171e-06 -0.0833266  2.95948 -0.685289  -0.0139289 -0.0809651  3.03492 -0.673542  
11.2155 0.0138172 -0.0804749  2.87438 -0.699273  -2.99503e-06 -0.082919  2.95959 -0.682208  -0.0137904 -0.0805938  3.03419 -0.670567  
11.2783 0.0136836 -0.0801071  2.87542 -0.696078  -1.01294e-06 -0.0825152  2.9597 -0.679154  -0.0136538 -0.0802254  3.03348 -0.667617  
