4.79093 0.0155929 -0.22026  -0.0698569 0.274469  
4.82234 0.015745 -0.219133  -0.0762577 0.283319  
4.85376 0.0158905 -0.218016  -0.0826026 0.292156  
4.88518 0.0160292 -0.21691  -0.0888857 0.300971  
4.91659 0.0161611 -0.215813  -0.0951015 0.309759  
4.94801 0.0162859 -0.214726  -0.101245 0.318514  
4.97942 0.0164037 -0.213649  -0.10731 0.327229  
5.01084 0.0165143 -0.21258  -0.113292 0.3359  
5.04226 0.0166176 -0.21152  -0.119187 0.344519  
5.07367 0.0167136 -0.210469  -0.124989 0.353083  
5.10509 0.0168023 -0.209425  -0.130695 0.361585  
5.1365 0.0168837 -0.20839  -0.136299 0.37002  
5.16792 0.0169576 -0.207362  -0.141797 0.378384  
5.19934 0.0170241 -0.206341  -0.147186 0.38667  
5.23075 0.0170832 -0.205328  -0.152462 0.394876  
5.26217 0.0171349 -0.204321  -0.15762 0.402996  
5.29358 0.0171792 -0.203322  -0.162658 0.411026  
5.325 0.0172161 -0.202329  -0.167573 0.418962  
5.35642 0.0172458 -0.201342  -0.172359 0.4268  
5.38783 0.0172681 -0.200362  -0.177016 0.434536  
5.41925 0.0172833 -0.199387  -0.181539 0.442166  
5.45066 0.0172913 -0.198419  -0.185926 0.449688  
5.48208 0.0172922 -0.197457  -0.190175 0.457097  
5.5135 0.017286 -0.1965  -0.194282 0.46439  
5.54491 0.017273 -0.19555  -0.198245 0.471566  
5.57633 0.0172531 -0.194604  -0.202062 0.47862  
5.60774 0.0172264 -0.193664  -0.205731 0.48555  
5.63916 0.0171931 -0.19273  -0.20925 0.492355  
5.67057 0.0171532 -0.1918  -0.212617 0.49903  
5.70199 0.0171069 -0.190876  -0.21583 0.505575  
5.73341 0.0170543 -0.189957  -0.218887 0.511988  
5.76482 0.0169954 -0.189043  -0.221787 0.518265  
5.79624 0.0169305 -0.188134  -0.224528 0.524407  
5.82765 0.0168595 -0.18723  -0.227109 0.530411  
5.85907 0.0167827 -0.186331  -0.229529 0.536276  
5.89049 0.0167002 -0.185437  -0.231786 0.542  
5.9219 0.0166121 -0.184547  -0.233879 0.547583  
5.95332 0.0165186 -0.183662  -0.235808 0.553024  
5.98473 0.0164197 -0.182782  -0.237571 0.558321  
6.01615 0.0163156 -0.181906  -0.239167 0.563474  
6.04757 0.0162065 -0.181035  -0.240597 0.568482  
6.07898 0.0160925 -0.180169  -0.241858 0.573346  
6.1104 0.0159737 -0.179307  -0.242952 0.578064  
6.14181 0.0158502 -0.17845  -0.243876 0.582636  
6.17323 0.0157223 -0.177597  -0.244631 0.587063  
6.20465 0.01559 -0.176749  -0.245216 0.591343  
6.23606 0.0154535 -0.175905  -0.245632 0.595478  
6.26748 0.015313 -0.175066  -0.245878 0.599468  
6.29889 0.0151685 -0.174231  -0.245953 0.603312  
6.33031 0.0150203 -0.1734  -0.245858 0.607012  
6.36173 0.0148684 -0.172574  -0.245593 0.610568  
6.39314 0.014713 -0.171753  -0.245158 0.613979  
6.42456 0.0145543 -0.170936  -0.244554 0.617248  
6.45597 0.0143923 -0.170123  -0.243779 0.620375  
6.48739 0.0142272 -0.169314  -0.242836 0.62336  
6.5188 0.0140592 -0.16851  -0.241723 0.626205  
6.55022 0.0138884 -0.167711  -0.240442 0.628911  
6.58164 0.0137149 -0.166915  -0.238993 0.631478  
6.61305 0.0135389 -0.166124  -0.237377 0.633909  
6.64447 0.0133604 -0.165338  -0.235594 0.636203  
6.67588 0.0131797 -0.164556  -0.233644 0.638362  
6.7073 0.0129968 -0.163778  -0.23153 0.640389  
6.73872 0.0128119 -0.163004  -0.229251 0.642283  
6.77013 0.012625 -0.162235  -0.226808 0.644047  
6.80155 0.0124364 -0.16147  -0.224203 0.645682  
6.83296 0.0122461 -0.16071  -0.221435 0.647189  
6.86438 0.0120543 -0.159954  -0.218507 0.648571  
6.8958 0.011861 -0.159202  -0.21542 0.649829  
6.92721 0.0116665 -0.158454  -0.212174 0.650964  
6.95863 0.0114707 -0.157711  -0.208771 0.651978  
6.99004 0.0112738 -0.156973  -0.205211 0.652874  
7.02146 0.011076 -0.156238  -0.201497 0.653652  
7.05288 0.0108773 -0.155508  -0.19763 0.654315  
7.08429 0.0106778 -0.154782  -0.19361 0.654864  
7.11571 0.0104776 -0.15406  -0.18944 0.655302  
7.14712 0.0102769 -0.153343  -0.185121 0.65563  
7.17854 0.0100757 -0.15263  -0.180654 0.655851  
7.20996 0.00987414 -0.151922  -0.176042 0.655965  
7.24137 0.00967229 -0.151217  -0.171285 0.655976  
7.27279 0.00947025 -0.150517  -0.166386 0.655884  
7.3042 0.0092681 -0.149822  -0.161346 0.655693  
7.33562 0.00906595 -0.14913  -0.156167 0.655403  
7.36703 0.00886386 -0.148443  -0.15085 0.655018  
7.39845 0.00866192 -0.14776  -0.145398 0.654538  
7.42987 0.00846021 -0.147081  -0.139812 0.653967  
