5.68628 0.0169419 -0.16445  2.15001 -0.267724  -0.0168221 -0.164139  0.848276 -0.279803  
5.74911 0.0166615 -0.162848  2.14818 -0.26557  -0.0165531 -0.162541  0.850442 -0.277669  
5.81195 0.0163872 -0.161276  2.14639 -0.263464  -0.0162903 -0.160973  0.85257 -0.275533  
5.87478 0.0161189 -0.159733  2.14465 -0.261407  -0.0160335 -0.159436  0.854661 -0.273394  
5.93761 0.0158563 -0.158217  2.14295 -0.259398  -0.0157825 -0.157927  0.856716 -0.271254  
6.00044 0.0155995 -0.156729  2.14129 -0.257437  -0.0155371 -0.156446  0.858734 -0.269112  
6.06327 0.0153481 -0.155266  2.13967 -0.255525  -0.0152971 -0.154993  0.860716 -0.266971  
6.12611 0.0151021 -0.15383  2.1381 -0.253661  -0.0150624 -0.153566  0.862661 -0.264829  
6.18894 0.0148615 -0.152419  2.13656 -0.251844  -0.0148328 -0.152165  0.864571 -0.26269  
6.25177 0.0146259 -0.151032  2.13505 -0.250074  -0.0146081 -0.150789  0.866444 -0.260552  
6.3146 0.0143954 -0.149669  2.13358 -0.248351  -0.0143882 -0.149438  0.868282 -0.258416  
6.37743 0.0141698 -0.148329  2.13214 -0.246673  -0.0141729 -0.14811  0.870084 -0.256285  
6.44026 0.013949 -0.147011  2.13074 -0.24504  -0.0139622 -0.146806  0.87185 -0.254158  
6.5031 0.0137329 -0.145716  2.12936 -0.243451  -0.0137557 -0.145524  0.873581 -0.252036  
6.56593 0.0135213 -0.144442  2.12802 -0.241905  -0.0135536 -0.144264  0.875276 -0.249921  
6.62876 0.0133142 -0.14319  2.1267 -0.240401  -0.0133555 -0.143025  0.876936 -0.247812  
6.69159 0.0131115 -0.141958  2.12541 -0.238938  -0.0131614 -0.141808  0.878561 -0.245712  
6.75442 0.0129131 -0.140746  2.12415 -0.237514  -0.0129712 -0.14061  0.880151 -0.243621  
6.81726 0.0127188 -0.139553  2.12291 -0.236128  -0.0127847 -0.139432  0.881707 -0.241539  
6.88009 0.0125286 -0.13838  2.12169 -0.23478  -0.0126019 -0.138274  0.883228 -0.239467  
6.94292 0.0123424 -0.137226  2.1205 -0.233468  -0.0124227 -0.137134  0.884714 -0.237407  
7.00575 0.01216 -0.136089  2.11933 -0.23219  -0.0122469 -0.136013  0.886166 -0.23536  
7.06858 0.0119815 -0.134971  2.11818 -0.230946  -0.0120744 -0.134909  0.887585 -0.233325  
7.13142 0.0118067 -0.13387  2.11705 -0.229733  -0.0119053 -0.133823  0.888969 -0.231304  
7.19425 0.0116355 -0.132787  2.11593 -0.228552  -0.0117393 -0.132754  0.89032 -0.229298  
7.25708 0.0114678 -0.13172  2.11484 -0.2274  -0.0115764 -0.131701  0.891638 -0.227307  
7.31991 0.0113035 -0.13067  2.11376 -0.226275  -0.0114166 -0.130665  0.892923 -0.225333  
7.38274 0.0111427 -0.129635  2.1127 -0.225178  -0.0112597 -0.129645  0.894175 -0.223375  
7.44557 0.0109851 -0.128616  2.11165 -0.224106  -0.0111056 -0.12864  0.895395 -0.221434  
7.50841 0.0108308 -0.127613  2.11062 -0.223058  -0.0109544 -0.12765  0.896582 -0.219512  
7.57124 0.0106796 -0.126625  2.1096 -0.222033  -0.0108059 -0.126675  0.897738 -0.217608  
7.63407 0.0105315 -0.125651  2.10859 -0.221029  -0.0106601 -0.125714  0.898863 -0.215724  
7.6969 0.0103864 -0.124692  2.1076 -0.220046  -0.0105168 -0.124767  0.899957 -0.21386  
7.75973 0.0102442 -0.123747  2.10662 -0.219082  -0.0103761 -0.123834  0.90102 -0.212016  
7.82257 0.0101048 -0.122816  2.10565 -0.218136  -0.0102379 -0.122915  0.902053 -0.210193  
7.8854 0.00996827 -0.121898  2.10469 -0.217206  -0.0101021 -0.122009  0.903056 -0.208391  
