5.68628 0.0397207 -0.129541  2.68996 -1.13424  -0.000848979 -0.140841  2.92529 -1.14649  -0.0426663 -0.127843  3.25989 -1.05338  
5.74911 0.0392967 -0.128554  2.68092 -1.13049  -0.000758382 -0.139556  2.92317 -1.1509  -0.0420427 -0.127169  3.25602 -1.0436  
5.81195 0.0388908 -0.127589  2.67162 -1.12608  -0.000662812 -0.138295  2.92058 -1.15522  -0.041427 -0.126501  3.25193 -1.03388  
5.87478 0.0385017 -0.126645  2.66209 -1.12103  -0.000562712 -0.137059  2.91755 -1.15941  -0.0408191 -0.125837  3.24764 -1.02424  
5.93761 0.038128 -0.125723  2.65238 -1.11533  -0.000458517 -0.135847  2.91407 -1.16344  -0.0402189 -0.125178  3.24316 -1.01467  
6.00044 0.0377686 -0.124823  2.64253 -1.10899  -0.000350653 -0.13466  2.91017 -1.1673  -0.0396263 -0.124524  3.2385 -1.00519  
6.06327 0.0374223 -0.123943  2.63259 -1.10202  -0.000239534 -0.133496  2.90584 -1.17095  -0.0390414 -0.123874  3.23367 -0.995814  
6.12611 0.0370881 -0.123084  2.62258 -1.09442  -0.000125565 -0.132356  2.9011 -1.17437  -0.0384639 -0.123228  3.22868 -0.986541  
6.18894 0.0367649 -0.122245  2.61255 -1.0862  -9.13579e-06 -0.131238  2.89597 -1.17753  -0.0378939 -0.122586  3.22354 -0.97738  
6.25177 0.0364517 -0.121425  2.60254 -1.07738  0.000109375 -0.130144  2.89046 -1.18043  -0.0373314 -0.121948  3.21826 -0.968339  
6.3146 0.0361476 -0.120625  2.59259 -1.06797  0.000229605 -0.129072  2.88459 -1.18302  -0.0367762 -0.121313  3.21284 -0.959424  
6.37743 0.0358517 -0.119844  2.58272 -1.05798  0.000351206 -0.128023  2.87836 -1.1853  -0.0362284 -0.120681  3.2073 -0.950641  
6.44026 0.0355633 -0.119082  2.57297 -1.04743  0.000473842 -0.126995  2.8718 -1.18724  -0.0356879 -0.120053  3.20165 -0.941996  
6.5031 0.0352814 -0.118337  2.56337 -1.03633  0.000597196 -0.125988  2.86493 -1.18884  -0.0351547 -0.119427  3.19589 -0.933492  
6.56593 0.0350055 -0.11761  2.55395 -1.02471  0.000720965 -0.125003  2.85775 -1.19007  -0.0346288 -0.118805  3.19004 -0.925136  
6.62876 0.0347348 -0.1169  2.54474 -1.01258  0.00084486 -0.124038  2.8503 -1.19091  -0.03411 -0.118186  3.18409 -0.91693  
6.69159 0.0344687 -0.116207  2.53577 -0.999954  0.000968611 -0.123093  2.84258 -1.19137  -0.0335985 -0.117569  3.17807 -0.908878  
6.75442 0.0342067 -0.115529  2.52706 -0.986862  0.00109196 -0.122168  2.83461 -1.19141  -0.0330941 -0.116955  3.17197 -0.900984  
6.81726 0.0339481 -0.114868  2.51864 -0.97332  0.00121466 -0.121262  2.82641 -1.19105  -0.0325969 -0.116344  3.1658 -0.89325  
6.88009 0.0336925 -0.114221  2.51052 -0.959351  0.0013365 -0.120375  2.81801 -1.19026  -0.0321068 -0.115736  3.15957 -0.88568  
6.94292 0.0334394 -0.113589  2.50273 -0.944973  0.00145725 -0.119507  2.80941 -1.18904  -0.0316237 -0.11513  3.15329 -0.878275  
