11.027 -5.59309e-05 -0.0770501  4.50951 -1.64512  
11.0898 -5.44574e-05 -0.0767297  4.50934 -1.63774  
11.1527 -5.29914e-05 -0.0764115  4.50917 -1.63043  
11.2155 -5.15336e-05 -0.0760955  4.50899 -1.62319  
11.2783 -5.00848e-05 -0.0757816  4.50881 -1.61601  
11.3411 -4.86456e-05 -0.0754699  4.50863 -1.6089  
11.404 -4.72167e-05 -0.0751604  4.50844 -1.60186  
11.4668 -4.57986e-05 -0.074853  4.50826 -1.59488  
11.5296 -4.43919e-05 -0.0745477  4.50807 -1.58796  
11.5925 -4.29971e-05 -0.0742444  4.50788 -1.58111  
11.6553 -4.16147e-05 -0.0739433  4.50769 -1.57431  
11.7181 -4.02451e-05 -0.0736442  4.5075 -1.56758  
11.781 -3.88887e-05 -0.0733472  4.50731 -1.56091  
11.8438 -3.7546e-05 -0.0730521  4.50711 -1.55429  
11.9066 -3.62171e-05 -0.0727591  4.50692 -1.54774  
11.9695 -3.49025e-05 -0.0724681  4.50672 -1.54124  
12.0323 -3.36025e-05 -0.0721791  4.50652 -1.5348  
12.0951 -3.23173e-05 -0.071892  4.50632 -1.52842  
12.158 -3.10471e-05 -0.0716069  4.50612 -1.52209  
12.2208 -2.97922e-05 -0.0713237  4.50592 -1.51582  
12.2836 -2.85527e-05 -0.0710425  4.50572 -1.5096  
12.3465 -2.73288e-05 -0.0707631  4.50552 -1.50344  
12.4093 -2.61207e-05 -0.0704857  4.50532 -1.49733  
12.4721 -2.49284e-05 -0.0702101  4.50512 -1.49127  
12.535 -2.37522e-05 -0.0699363  4.50492 -1.48526  
12.5978 -2.33325e-05 -0.0696685  4.50487 -1.47845  
12.6606 -2.29218e-05 -0.0694025  4.50482 -1.4717  
12.7235 -2.25199e-05 -0.0691381  4.50477 -1.46501  
12.7863 -2.21264e-05 -0.0688754  4.50472 -1.45838  
12.8491 -2.17413e-05 -0.0686144  4.50467 -1.45181  
12.9119 -2.13643e-05 -0.068355  4.50463 -1.4453  
12.9748 -2.09952e-05 -0.0680973  4.50458 -1.43885  
13.0376 -2.06337e-05 -0.0678413  4.50454 -1.43245  
13.1004 -2.02799e-05 -0.0675869  4.50449 -1.42611  
13.1633 -1.99333e-05 -0.0673341  4.50445 -1.41983  
13.2261 -1.95939e-05 -0.0670829  4.50441 -1.4136  
13.2889 -1.92615e-05 -0.0668333  4.50436 -1.40743  
13.3518 -1.89359e-05 -0.0665852  4.50432 -1.40131  
13.4146 -1.8617e-05 -0.0663388  4.50428 -1.39524  
13.4774 -1.83046e-05 -0.0660939  4.50424 -1.38923  
13.5403 -1.79985e-05 -0.0658506  4.5042 -1.38327  
13.6031 -1.76986e-05 -0.0656088  4.50416 -1.37735  
13.6659 -1.74048e-05 -0.0653686  4.50412 -1.37149  
13.7288 -1.71169e-05 -0.0651298  4.50408 -1.36568  
13.7916 -1.68347e-05 -0.0648926  4.50404 -1.35992  
13.8544 -1.65581e-05 -0.0646568  4.504 -1.35421  
13.9173 -1.62871e-05 -0.0644226  4.50397 -1.34854  
13.9801 -1.60214e-05 -0.0641898  4.50393 -1.34292  
14.0429 -1.5761e-05 -0.0639585  4.50389 -1.33735  
14.1058 -1.55057e-05 -0.0637286  4.50386 -1.33182  
14.1686 -1.52554e-05 -0.0635002  4.50382 -1.32634  
14.2314 -1.501e-05 -0.0632732  4.50379 -1.3209  
14.2942 -1.47693e-05 -0.0630476  4.50375 -1.31551  
14.3571 -1.45334e-05 -0.0628234  4.50372 -1.31016  
