0.0314159 0.000252313 -0.00195715  -59.2951 -502.554  
13.8544 3.54902e-05 -0.0618225  5.4906 -2.07462  
13.9173 3.49367e-05 -0.0616201  5.49069 -2.06572  
13.9801 3.43935e-05 -0.0614187  5.49077 -2.0569  
14.0429 3.38606e-05 -0.0612183  5.49086 -2.04815  
14.1058 3.33375e-05 -0.061019  5.49094 -2.03947  
14.1686 3.28242e-05 -0.0608206  5.49102 -2.03087  
14.2314 3.23204e-05 -0.0606233  5.4911 -2.02234  
14.2942 3.18259e-05 -0.060427  5.49118 -2.01388  
14.3571 3.13405e-05 -0.0602316  5.49126 -2.00549  
14.4199 3.08641e-05 -0.0600373  5.49134 -1.99717  
14.4827 3.03964e-05 -0.0598439  5.49142 -1.98892  
14.5456 2.99372e-05 -0.0596516  5.49149 -1.98073  
14.6084 2.94863e-05 -0.0594602  5.49157 -1.97262  
14.6712 2.90437e-05 -0.0592698  5.49164 -1.96457  
14.7341 2.8609e-05 -0.0590803  5.49171 -1.95659  
14.7969 2.81822e-05 -0.0588919  5.49178 -1.94867  
14.8597 2.77631e-05 -0.0587044  5.49186 -1.94081  
14.9226 2.73515e-05 -0.0585178  5.49193 -1.93302  
14.9854 2.69473e-05 -0.0583322  5.49199 -1.92529  
15.0482 2.65502e-05 -0.0581476  5.49206 -1.91762  
15.1111 2.61602e-05 -0.0579639  5.49213 -1.91001  
15.1739 2.57771e-05 -0.0577812  5.4922 -1.90246  
15.2367 2.54008e-05 -0.0575994  5.49226 -1.89498  
15.2996 2.50312e-05 -0.0574185  5.49233 -1.88755  
15.3624 2.4668e-05 -0.0572386  5.49239 -1.88018  
15.4252 2.43111e-05 -0.0570596  5.49245 -1.87286  
15.4881 2.39605e-05 -0.0568815  5.49252 -1.8656  
15.5509 2.36161e-05 -0.0567043  5.49258 -1.8584  
15.6137 2.32775e-05 -0.0565281  5.49264 -1.85126  
15.6765 2.29449e-05 -0.0563527  5.4927 -1.84417  
15.7394 2.2618e-05 -0.0561783  5.49276 -1.83713  
15.8022 2.22967e-05 -0.0560047  5.49282 -1.83014  
15.865 2.19809e-05 -0.0558321  5.49288 -1.82321  
15.9279 2.16705e-05 -0.0556603  5.49293 -1.81634  
15.9907 2.13654e-05 -0.0554894  5.49299 -1.80951  
16.0535 2.10656e-05 -0.0553194  5.49305 -1.80273  
16.1164 2.07707e-05 -0.0551503  5.4931 -1.79601  
16.1792 2.04809e-05 -0.054982  5.49316 -1.78933  
16.242 2.0196e-05 -0.0548146  5.49321 -1.78271  
16.3049 1.99158e-05 -0.0546481  5.49327 -1.77613  
16.3677 1.96404e-05 -0.0544824  5.49332 -1.7696  
16.4305 1.93696e-05 -0.0543176  5.49337 -1.76312  
16.4934 1.91032e-05 -0.0541536  5.49342 -1.75669  
16.5562 1.88413e-05 -0.0539904  5.49347 -1.7503  
16.619 1.85838e-05 -0.0538281  5.49353 -1.74396  
16.6819 1.83305e-05 -0.0536667  5.49358 -1.73767  
16.7447 1.80813e-05 -0.053506  5.49362 -1.73142  
16.8075 1.78363e-05 -0.0533462  5.49367 -1.72521  
16.8704 1.75953e-05 -0.0531872  5.49372 -1.71905  
16.9332 1.73582e-05 -0.053029  5.49377 -1.71294  
16.996 1.7125e-05 -0.0528716  5.49382 -1.70686  
17.0588 1.68956e-05 -0.052715  5.49386 -1.70083  
17.1217 1.66699e-05 -0.0525592  5.49391 -1.69485  
17.1845 1.64478e-05 -0.0524042  5.49396 -1.6889  
17.2473 1.62293e-05 -0.05225  5.494 -1.683  
17.3102 1.60144e-05 -0.0520966  5.49405 -1.67714  
17.373 1.58029e-05 -0.051944  5.49409 -1.67131  
17.4358 1.55947e-05 -0.0517921  5.49413 -1.66553  
17.4987 1.53899e-05 -0.051641  5.49418 -1.65979  
17.5615 1.51883e-05 -0.0514907  5.49422 -1.65409  
17.6243 1.499e-05 -0.0513411  5.49426 -1.64842  
17.6872 1.47947e-05 -0.0511923  5.49431 -1.6428  
17.75 1.46026e-05 -0.0510443  5.49435 -1.63721  
17.8128 1.44134e-05 -0.050897  5.49439 -1.63166  
17.8757 1.42273e-05 -0.0507504  5.49443 -1.62615  
17.9385 1.4044e-05 -0.0506046  5.49447 -1.62068  
18.0013 1.38636e-05 -0.0504595  5.49451 -1.61524  
18.0642 1.3686e-05 -0.0503152  5.49455 -1.60984  
18.127 1.35112e-05 -0.0501715  5.49459 -1.60447  
18.1898 1.3339e-05 -0.0500286  5.49463 -1.59915  
18.2527 1.31695e-05 -0.0498864  5.49466 -1.59385  
18.3155 1.30027e-05 -0.0497449  5.4947 -1.58859  
18.3783 1.28383e-05 -0.0496042  5.49474 -1.58337  
18.4411 1.26765e-05 -0.0494641  5.49478 -1.57818  
18.504 1.25172e-05 -0.0493247  5.49481 -1.57302  
18.5668 1.23603e-05 -0.0491861  5.49485 -1.5679  
18.6296 1.22058e-05 -0.0490481  5.49488 -1.56281  
18.6925 1.20536e-05 -0.0489108  5.49492 -1.55775  
18.7553 1.19037e-05 -0.0487742  5.49496 -1.55273  
18.8181 1.17561e-05 -0.0486382  5.49499 -1.54774  
18.881 1.16107e-05 -0.048503  5.49502 -1.54278  
18.9438 1.14675e-05 -0.0483684  5.49506 -1.53785  
19.0066 1.13264e-05 -0.0482345  5.49509 -1.53295  
19.0695 1.11874e-05 -0.0481012  5.49513 -1.52809  
19.1323 1.10505e-05 -0.0479686  5.49516 -1.52325  
19.1951 1.09156e-05 -0.0478367  5.49519 -1.51845  
19.258 1.07827e-05 -0.0477054  5.49522 -1.51367  
19.3208 1.06517e-05 -0.0475747  5.49526 -1.50893  
19.3836 1.05227e-05 -0.0474447  5.49529 -1.50421  
19.4465 1.03956e-05 -0.0473153  5.49532 -1.49953  
19.5093 1.02704e-05 -0.0471866  5.49535 -1.49487  
19.5721 1.01469e-05 -0.0470584  5.49538 -1.49025  
19.635 1.00253e-05 -0.046931  5.49541 -1.48565  
19.6978 9.90544e-06 -0.0468041  5.49544 -1.48108  
19.7606 9.78731e-06 -0.0466778  5.49547 -1.47654  
19.8234 9.67089e-06 -0.0465522  5.4955 -1.47202  
19.8863 9.55615e-06 -0.0464272  5.49553 -1.46753  
19.9491 9.44306e-06 -0.0463028  5.49556 -1.46307  
20.0119 9.33159e-06 -0.0461789  5.49559 -1.45864  
