5.98473 0.0341278 -0.205764  -0.284548 1.2557  
6.01615 0.0329873 -0.204775  -0.266841 1.25704  
6.04757 0.0318735 -0.203771  -0.249348 1.25808  
6.07898 0.0307865 -0.202755  -0.232076 1.25885  
6.1104 0.0297265 -0.201727  -0.215031 1.25933  
6.14181 0.0286936 -0.200688  -0.198222 1.25954  
6.17323 0.0276878 -0.199639  -0.181654 1.25948  
6.20465 0.0267092 -0.198581  -0.165337 1.25915  
6.23606 0.0257578 -0.197514  -0.149276 1.25856  
6.26748 0.0248336 -0.19644  -0.13348 1.2577  
6.29889 0.0239364 -0.19536  -0.117956 1.2566  
6.33031 0.0230662 -0.194274  -0.102712 1.25524  
6.36173 0.0222229 -0.193183  -0.0877558 1.25363  
6.39314 0.0214062 -0.192087  -0.0730943 1.25178  
6.42456 0.0206162 -0.190989  -0.0587356 1.24969  
6.45597 0.0198525 -0.189887  -0.0446874 1.24736  
6.48739 0.0191149 -0.188783  -0.0309575 1.2448  
6.5188 0.0184032 -0.187679  -0.0175536 1.24202  
6.55022 0.0177172 -0.186573  -0.00448349 1.23901  
6.58164 0.0170565 -0.185467  0.00824525 1.23578  
6.61305 0.016421 -0.184362  0.0206249 1.23234  
6.64447 0.0158102 -0.183257  0.0326478 1.22869  
6.67588 0.0152239 -0.182155  0.0443065 1.22484  
6.7073 0.0146617 -0.181054  0.0555934 1.22079  
6.73872 0.0141234 -0.179957  0.066501 1.21654  
6.77013 0.0136084 -0.178862  0.0770222 1.21211  
6.80155 0.0131166 -0.177771  0.0871495 1.2075  
6.83296 0.0126474 -0.176685  0.0968759 1.20271  
6.86438 0.0122006 -0.175603  0.106194 1.19775  
6.8958 0.0117756 -0.174526  0.115098 1.19263  
6.92721 0.0113723 -0.173454  0.12358 1.18735  
6.95863 0.01099 -0.172388  0.131634 1.18193  
6.99004 0.0106285 -0.171328  0.139254 1.17636  
7.02146 0.0102873 -0.170275  0.146433 1.17065  
7.05288 0.00996592 -0.169229  0.153165 1.16482  
7.08429 0.00966407 -0.16819  0.159444 1.15887  
7.11571 0.00938127 -0.167158  0.165266 1.15281  
7.14712 0.00911709 -0.166135  0.170624 1.14664  
7.17854 0.00887112 -0.165119  0.175514 1.14038  
7.20996 0.00864293 -0.164111  0.179931 1.13404  
7.24137 0.0084321 -0.163112  0.18387 1.12762  
7.27279 0.00823818 -0.162122  0.187327 1.12113  
7.3042 0.00806077 -0.16114  0.190298 1.11458  
7.33562 0.00789943 -0.160168  0.19278 1.10798  
7.36703 0.00775374 -0.159205  0.194769 1.10135  
7.39845 0.00762328 -0.158252  0.196262 1.09468  
7.42987 0.00750764 -0.157308  0.197257 1.088  
7.46128 0.00740638 -0.156374  0.197751 1.08131  
7.4927 0.00731911 -0.15545  0.197744 1.07463  
7.52411 0.0072454 -0.154536  0.197232 1.06796  
7.55553 0.00718486 -0.153632  0.196216 1.06131  
7.58695 0.00713707 -0.152739  0.194695 1.0547  
7.61836 0.00710164 -0.151855  0.192668 1.04814  
7.64978 0.00707816 -0.150982  0.190135 1.04163  
7.68119 0.00706626 -0.15012  0.187098 1.0352  
7.71261 0.00706554 -0.149268  0.183558 1.02884  
7.74403 0.00707561 -0.148427  0.179515 1.02258  
7.77544 0.00709611 -0.147596  0.174972 1.01643  
7.80686 0.00712665 -0.146776  0.169931 1.01039  
7.83827 0.00716688 -0.145967  0.164396 1.00448  
7.86969 0.00721643 -0.145168  0.158369 0.998704  
7.90111 0.00727493 -0.14438  0.151855 0.993083  
7.93252 0.00734205 -0.143603  0.144857 0.987626  
7.96394 0.00741744 -0.142836  0.13738 0.982342  
7.99535 0.00750075 -0.14208  0.12943 0.977245  
8.02677 0.00759165 -0.141335  0.121012 0.972344  
8.05819 0.00768982 -0.140601  0.112132 0.967652  
8.0896 0.00779492 -0.139877  0.102797 0.963178  
8.12102 0.00790666 -0.139164  0.0930132 0.958935  
8.15243 0.0080247 -0.138461  0.0827886 0.954933  
8.18385 0.00814876 -0.137769  0.072131 0.951182  
8.21526 0.00827853 -0.137087  0.0610483 0.947692  
8.24668 0.00841372 -0.136415  0.0495494 0.944474  
8.2781 0.00855404 -0.135754  0.0376431 0.941538  
8.30951 0.00869921 -0.135103  0.0253389 0.938892  
8.34093 0.00884896 -0.134462  0.0126465 0.936546  
8.37234 0.00900303 -0.133832  -0.000423991 0.93451  
8.40376 0.00916114 -0.133211  -0.0138621 0.932791  
8.43518 0.00932304 -0.132601  -0.0276571 0.931397  
8.46659 0.00948848 -0.132  -0.0417978 0.930338  
8.49801 0.00965722 -0.131409  -0.0562731 0.92962  
8.52942 0.00982902 -0.130828  -0.0710712 0.92925  
8.56084 0.0100036 -0.130256  -0.0861802 0.929235  
8.59226 0.0101809 -0.129694  -0.101588 0.929582  
8.62367 0.0103605 -0.129141  -0.117283 0.930297  
8.65509 0.0105422 -0.128598  -0.133251 0.931385  
8.6865 0.0107259 -0.128064  -0.149481 0.932852  
8.71792 0.0109114 -0.127539  -0.16596 0.934701  
8.74934 0.0110984 -0.127023  -0.182674 0.936938  
8.78075 0.0112868 -0.126516  -0.19961 0.939567  
8.81217 0.0114763 -0.126018  -0.216756 0.94259  
8.84358 0.0116669 -0.125528  -0.234098 0.946011  
8.875 0.0118582 -0.125047  -0.251623 0.949832  
8.90642 0.0120502 -0.124575  -0.269317 0.954056  
8.93783 0.0122426 -0.124111  -0.287167 0.958685  
8.96925 0.0124354 -0.123655  -0.305161 0.963718  
9.00066 0.0126283 -0.123207  -0.323284 0.969159  
9.03208 0.0128212 -0.122767  -0.341523 0.975006  
9.06349 0.013014 -0.122336  -0.359865 0.98126  
9.09491 0.0132064 -0.121912  -0.378297 0.987921  
9.12633 0.0133985 -0.121496  -0.396806 0.994987  
9.15774 0.01359 -0.121087  -0.41538 1.00246  
9.18916 0.0137808 -0.120686  -0.434005 1.01033  
9.22057 0.0139707 -0.120292  -0.452669 1.01861  
9.25199 0.0141598 -0.119905  -0.471359 1.02728  
9.28341 0.0143478 -0.119526  -0.490063 1.03635  
9.31482 0.0145347 -0.119153  -0.50877 1.04581  
9.34624 0.0147202 -0.118787  -0.527466 1.05566  
9.37765 0.0149045 -0.118428  -0.546142 1.0659  
9.40907 0.0150872 -0.118076  -0.564784 1.07652  
9.44049 0.0152684 -0.117731  -0.583383 1.08752  
9.4719 0.0154479 -0.117391  -0.601927 1.09889  
9.50332 0.0156257 -0.117058  -0.620406 1.11063  
9.53473 0.0158017 -0.116732  -0.638808 1.12273  
9.56615 0.0159758 -0.116411  -0.657125 1.13519  
9.59757 0.0161479 -0.116096  -0.675346 1.148  
9.62898 0.0163179 -0.115788  -0.693462 1.16116  
9.6604 0.0164858 -0.115485  -0.711463 1.17466  
9.69181 0.0166515 -0.115187  -0.72934 1.18849  
9.72323 0.016815 -0.114895  -0.747086 1.20265  
9.75465 0.0169761 -0.114609  -0.76469 1.21714  
9.78606 0.0171349 -0.114328  -0.782146 1.23194  
9.81748 0.0172912 -0.114052  -0.799446 1.24704  
9.84889 0.0174451 -0.113781  -0.816582 1.26245  
9.88031 0.0175964 -0.113516  -0.833547 1.27815  
9.91172 0.0177452 -0.113255  -0.850334 1.29414  
9.94314 0.0178913 -0.112999  -0.866936 1.31041  
9.97456 0.0180348 -0.112748  -0.883348 1.32695  
10.006 0.0181756 -0.112501  -0.899563 1.34376  
10.0374 0.0183137 -0.112259  -0.915576 1.36082  
10.0688 0.018449 -0.112021  -0.931381 1.37814  
10.1002 0.0185815 -0.111788  -0.946974 1.3957  
10.1316 0.0187112 -0.111559  -0.962349 1.41349  
10.1631 0.018838 -0.111334  -0.977502 1.43152  
10.1945 0.0189619 -0.111113  -0.992428 1.44976  
10.2259 0.019083 -0.110896  -1.00712 1.46822  
10.2573 0.0192011 -0.110683  -1.02159 1.48689  
10.2887 0.0193164 -0.110473  -1.03581 1.50575  
