4.24115 0.0611639 -0.151871  2.65187 -1.09973  -0.00170391 -0.17375  3.05165 -1.18872  -0.0606945 -0.150547  3.36032 -1.14621  
4.30398 0.0600805 -0.150971  2.65926 -1.09217  -0.00169328 -0.172177  3.05248 -1.18114  -0.059619 -0.149527  3.35656 -1.14272  
4.36681 0.0590218 -0.150075  2.66658 -1.08455  -0.00168023 -0.17063  3.05322 -1.17357  -0.0585713 -0.148518  3.35283 -1.13907  
4.42965 0.0579871 -0.149183  2.6738 -1.0769  -0.00166487 -0.16911  3.05387 -1.16601  -0.0575504 -0.14752  3.34915 -1.13527  
4.49248 0.0569755 -0.148294  2.68091 -1.06925  -0.00164731 -0.167615  3.05443 -1.15847  -0.0565556 -0.146532  3.34552 -1.13133  
4.55531 0.0559865 -0.147409  2.68792 -1.0616  -0.00162768 -0.166144  3.05489 -1.15096  -0.0555858 -0.145554  3.34193 -1.12725  
4.61814 0.0550194 -0.146526  2.6948 -1.05398  -0.00160609 -0.164697  3.05525 -1.14349  -0.0546405 -0.144586  3.3384 -1.12303  
4.68097 0.0540736 -0.145647  2.70155 -1.0464  -0.00158266 -0.163272  3.05553 -1.13607  -0.0537186 -0.143628  3.33492 -1.1187  
4.7438 0.0531484 -0.14477  2.70817 -1.03888  -0.0015575 -0.16187  3.05571 -1.12871  -0.0528196 -0.14268  3.3315 -1.11424  
4.80664 0.0522434 -0.143896  2.71466 -1.03144  -0.00153073 -0.160489  3.05581 -1.12141  -0.0519426 -0.141742  3.32814 -1.10968  
4.86947 0.0513579 -0.143024  2.721 -1.02409  -0.00150247 -0.159128  3.05581 -1.11418  -0.051087 -0.140812  3.32484 -1.10501  
4.9323 0.0504915 -0.142155  2.7272 -1.01683  -0.00147284 -0.157788  3.05573 -1.10702  -0.0502521 -0.139892  3.3216 -1.10025  
4.99513 0.0496437 -0.141289  2.73325 -1.00969  -0.00144195 -0.156468  3.05557 -1.09994  -0.0494372 -0.138982  3.31843 -1.0954  
5.05796 0.048814 -0.140425  2.73916 -1.00267  -0.00140991 -0.155168  3.05532 -1.09294  -0.0486418 -0.13808  3.31533 -1.09047  
5.1208 0.0480019 -0.139564  2.74493 -0.995772  -0.00137684 -0.153885  3.05498 -1.08602  -0.0478652 -0.137187  3.31229 -1.08545  
5.18363 0.047207 -0.138705  2.75054 -0.989017  -0.00134283 -0.152622  3.05457 -1.07918  -0.0471068 -0.136303  3.30932 -1.08037  
5.24646 0.0464288 -0.13785  2.75601 -0.982405  -0.00130799 -0.151376  3.05408 -1.07243  -0.0463661 -0.135428  3.30642 -1.07522  
5.30929 0.045667 -0.136997  2.76134 -0.975943  -0.00127243 -0.150148  3.05352 -1.06577  -0.0456426 -0.134561  3.30359 -1.07001  
5.37212 0.0449211 -0.136147  2.76652 -0.969636  -0.00123623 -0.148937  3.05288 -1.05919  -0.0449357 -0.133702  3.30084 -1.06475  
5.43496 0.0441908 -0.135301  2.77156 -0.963487  -0.0011995 -0.147743  3.05217 -1.05271  -0.0442449 -0.132852  3.29815 -1.05943  
5.49779 0.0434756 -0.134458  2.77646 -0.9575  -0.00116233 -0.146566  3.0514 -1.04631  -0.0435697 -0.13201  3.29554 -1.05408  
